英文名,中文名,简称,外网价格,buff最低价格,最新价格,buff在售数量,饰品类型,比率
Sawed-Off | The Kraken (Well-Worn),截短霰弹枪 | 北海巨妖 (破损不堪),截短霰弹枪 | 北海巨妖,39.51,38.72,38.62,9.0,nan,0.9800050620096178
StatTrak™ MAC-10 | Monkeyflage (Factory New),MAC-10（StatTrak™） | 萌猴迷彩 (崭新出厂),MAC-10（StatTrak™） | 萌猴迷彩,3.04,8.82,8.81,141.0,SMG,2.901315789473684
Five-SeveN | Hyper Beast (Battle-Scarred),FN57 | 暴怒野兽 (战痕累累),FN57 | 暴怒野兽,37.36,111.14,110.64,14.0,nan,2.9748394004282654
StatTrak™ Galil AR | Connexion (Well-Worn),加利尔 AR（StatTrak™） | 凤凰商号 (破损不堪),加利尔 AR（StatTrak™） | 凤凰商号,2.78,8.61,8.6,44.0,Rifle,3.097122302158273
PP-Bizon | Judgement of Anubis (Battle-Scarred),PP-野牛 | 阿努比斯之审判 (战痕累累),PP-野牛 | 阿努比斯之审判,9.96,31.41,31.31,13.0,nan,3.153614457831325
G3SG1 | Dream Glade (Factory New),G3SG1 | 梦之林地 (崭新出厂),G3SG1 | 梦之林地,2.66,8.84,8.83,286.0,Sniper Rifle,3.3233082706766917
AUG | Random Access (Minimal Wear),AUG | 随机存取 (略有磨损),AUG | 随机存取,4.29,14.53,14.5,96.0,Rifle,3.386946386946387
M4A1-S | Emphorosaur-S (Battle-Scarred),M4A1 消音型 | 隐伏帝王龙 (战痕累累),M4A1 消音型 | 隐伏帝王龙,5.92,20.49,20.39,188.0,Rifle,3.4611486486486482
P90 | Virus (Minimal Wear),P90 | 病毒危机 (略有磨损),P90 | 病毒危机,4.12,14.58,14.48,67.0,SMG,3.5388349514563107
FAMAS | Djinn (Battle-Scarred),法玛斯 | 灯神 (战痕累累),法玛斯 | 灯神,3.0,10.67,10.57,58.0,Rifle,3.5566666666666666
MAG-7 | Irradiated Alert (Minimal Wear),MAG-7 | 辐照警报 (略有磨损),MAG-7 | 辐照警报,2.89,10.31,10.21,16.0,Shotgun,3.5674740484429064
StatTrak™ FAMAS | Neural Net (Minimal Wear),法玛斯（StatTrak™） | 神经网 (略有磨损),法玛斯（StatTrak™） | 神经网,4.37,15.6,15.5,118.0,Rifle,3.5697940503432495
StatTrak™ MAC-10 | Classic Crate (Factory New),MAC-10（StatTrak™） | 板条箱 (崭新出厂),MAC-10（StatTrak™） | 板条箱,1.4,5.0,5.19,67.0,SMG,3.5714285714285716
StatTrak™ MP7 | Abyssal Apparition (Battle-Scarred),MP7（StatTrak™） | 幽幻深渊 (战痕累累),MP7（StatTrak™） | 幽幻深渊,4.51,16.3,16.2,46.0,SMG,3.6141906873614196
M4A1-S | Basilisk (Minimal Wear),M4A1 消音型 | 翼蜥 (略有磨损),M4A1 消音型 | 翼蜥,7.51,27.59,27.6,832.0,Rifle,3.673768308921438
R8 Revolver | Banana Cannon (Battle-Scarred),R8 左轮手枪 | 蕉农炮 (战痕累累),R8 左轮手枪 | 蕉农炮,2.64,9.74,9.73,132.0,Pistol,3.6893939393939394
StatTrak™ M249 | Emerald Poison Dart (Field-Tested),M249（StatTrak™） | 翠绿箭毒蛙 (久经沙场),M249（StatTrak™） | 翠绿箭毒蛙,3.04,11.24,11.14,47.0,Machinegun,3.6973684210526314
StatTrak™ Glock-18 | Royal Legion (Battle-Scarred),格洛克 18 型（StatTrak™） | 皇家军团 (战痕累累),格洛克 18 型（StatTrak™） | 皇家军团,4.85,17.95,17.85,47.0,Pistol,3.7010309278350517
R8 Revolver | Banana Cannon (Well-Worn),R8 左轮手枪 | 蕉农炮 (破损不堪),R8 左轮手枪 | 蕉农炮,2.93,10.89,10.79,200.0,Pistol,3.7167235494880546
P90 | Shallow Grave (Battle-Scarred),P90 | 浅坟 (战痕累累),P90 | 浅坟,2.75,10.3,10.2,47.0,SMG,3.7454545454545456
UMP-45 | Primal Saber (Battle-Scarred),UMP-45 | 野蛮剑齿虎 (战痕累累),UMP-45 | 野蛮剑齿虎,2.66,10.0,10.3,60.0,SMG,3.7593984962406015
StatTrak™ AWP | Duality (Field-Tested),AWP（StatTrak™） | 金粉肆蛇 (久经沙场),AWP（StatTrak™） | 金粉肆蛇,67.83,255.5,255.0,103.0,Sniper Rifle,3.7667698658410735
CZ75-Auto | Pole Position (Factory New),CZ75 | 先驱 (崭新出厂),CZ75 | 先驱,2.79,10.52,10.42,160.0,Pistol,3.7706093189964154
M249 | Contrast Spray (Factory New),M249 | 对比涂装 (崭新出厂),M249 | 对比涂装,4.66,17.63,17.53,8.0,Machinegun,3.783261802575107
StatTrak™ SSG 08 | Fever Dream (Battle-Scarred),SSG 08（StatTrak™） | 浮生如梦 (战痕累累),SSG 08（StatTrak™） | 浮生如梦,1.85,7.0,7.59,72.0,Sniper Rifle,3.7837837837837838
StatTrak™ Sawed-Off | Yorick (Factory New),截短霰弹枪（StatTrak™） | 弄臣之颅 (崭新出厂),截短霰弹枪（StatTrak™） | 弄臣之颅,2.04,7.79,7.78,59.0,Shotgun,3.818627450980392
