英文名,中文名,简称,外网价格,外网数量,buff最低价格,最新价格,buff在售数量,饰品类型,比率
G3SG1 | Dream Glade (Factory New),G3SG1 | 梦之林地 (崭新出厂),G3SG1 | 梦之林地,2.66,5.0,8.84,8.83,286.0,Sniper Rifle,3.3233082706766917
G3SG1 | Dream Glade (Minimal Wear),G3SG1 | 梦之林地 (略有磨损),G3SG1 | 梦之林地,1.06,1.0,3.7,3.69,468.0,Sniper Rifle,3.490566037735849
FAMAS | Djinn (Battle-Scarred),法玛斯 | 灯神 (战痕累累),法玛斯 | 灯神,3.0,1.0,10.67,10.57,58.0,Rifle,3.5566666666666666
USP-S | Ticket to Hell (Field-Tested),USP 消音版 | 地狱门票 (久经沙场),USP 消音版 | 地狱门票,1.04,47.0,3.75,3.74,2995.0,Pistol,3.605769230769231
M4A1-S | Basilisk (Minimal Wear),M4A1 消音型 | 翼蜥 (略有磨损),M4A1 消音型 | 翼蜥,7.51,2.0,27.59,27.6,832.0,Rifle,3.673768308921438
UMP-45 | Primal Saber (Battle-Scarred),UMP-45 | 野蛮剑齿虎 (战痕累累),UMP-45 | 野蛮剑齿虎,2.66,2.0,10.0,10.3,60.0,SMG,3.7593984962406015
StatTrak™ SSG 08 | Fever Dream (Battle-Scarred),SSG 08（StatTrak™） | 浮生如梦 (战痕累累),SSG 08（StatTrak™） | 浮生如梦,1.85,3.0,7.0,7.59,72.0,Sniper Rifle,3.7837837837837838
UMP-45 | Momentum (Well-Worn),UMP-45 | 动量 (破损不堪),UMP-45 | 动量,5.18,1.0,19.9,19.8,11.0,SMG,3.841698841698842
CZ75-Auto | Yellow Jacket (Battle-Scarred),CZ75 | 黄夹克 (战痕累累),CZ75 | 黄夹克,5.17,3.0,19.9,19.8,9.0,Pistol,3.849129593810445
StatTrak™ MP7 | Powercore (Well-Worn),MP7（StatTrak™） | 权力之心 (破损不堪),MP7（StatTrak™） | 权力之心,1.81,1.0,7.0,6.99,12.0,SMG,3.867403314917127
★ Driver Gloves | Overtake (Field-Tested),驾驶手套（★） | 超越 (久经沙场),驾驶手套（★） | 超越,165.58,164.0,640.98,640.48,357.0,Gloves,3.8711197004469136
USP-S | Ticket to Hell (Well-Worn),USP 消音版 | 地狱门票 (破损不堪),USP 消音版 | 地狱门票,1.35,56.0,5.24,5.23,190.0,Pistol,3.8814814814814813
AUG | Aristocrat (Factory New),AUG | 贵族 (崭新出厂),AUG | 贵族,2.72,1.0,10.57,10.47,312.0,Rifle,3.8860294117647056
M4A1-S | Control Panel (Minimal Wear),M4A1 消音型 | 控制台 (略有磨损),M4A1 消音型 | 控制台,32.75,1.0,127.5,127.0,294.0,Rifle,3.8931297709923665
StatTrak™ USP-S | Ticket to Hell (Battle-Scarred),USP 消音版（StatTrak™） | 地狱门票 (战痕累累),USP 消音版（StatTrak™） | 地狱门票,2.56,1.0,10.0,9.9,97.0,Pistol,3.90625
SCAR-20 | Stone Mosaico (Factory New),SCAR-20 | 石砌 (崭新出厂),SCAR-20 | 石砌,3.14,1.0,12.29,12.19,21.0,Sniper Rifle,3.914012738853503
AWP | Duality (Field-Tested),AWP | 金粉肆蛇 (久经沙场),AWP | 金粉肆蛇,42.51,2.0,166.88,166.38,544.0,Sniper Rifle,3.9256645495177604
M4A4 | Evil Daimyo (Minimal Wear),M4A4 | 杀意大名 (略有磨损),M4A4 | 杀意大名,4.54,54.0,17.98,17.9,3514.0,Rifle,3.960352422907489
MP7 | Asterion (Factory New),MP7 | 星点 (崭新出厂),MP7 | 星点,5.39,1.0,21.38,21.28,132.0,SMG,3.966604823747681
Galil AR | Stone Cold (Well-Worn),加利尔 AR | 冷石 (破损不堪),加利尔 AR | 冷石,1.69,1.0,6.72,6.71,72.0,Rifle,3.9763313609467454
StatTrak™ M4A1-S | Night Terror (Well-Worn),M4A1 消音型（StatTrak™） | 夜无眠 (破损不堪),M4A1 消音型（StatTrak™） | 夜无眠,7.11,1.0,28.4,28.3,137.0,Rifle,3.994374120956399
M4A4 | Faded Zebra (Minimal Wear),M4A4 | 渐变斑纹 (略有磨损),M4A4 | 渐变斑纹,4.28,16.0,17.2,17.2,88.0,Rifle,4.018691588785046
StatTrak™ CZ75-Auto | Pole Position (Factory New),CZ75（StatTrak™） | 先驱 (崭新出厂),CZ75（StatTrak™） | 先驱,5.22,1.0,21.0,20.9,123.0,Pistol,4.022988505747127
StatTrak™ G3SG1 | Azure Zebra (Factory New),G3SG1（StatTrak™） | 碧蓝斑纹 (崭新出厂),G3SG1（StatTrak™） | 碧蓝斑纹,4.77,1.0,19.22,19.12,94.0,Sniper Rifle,4.029350104821803
M249 | Downtown (Minimal Wear),M249 | 闹市区 (略有磨损),M249 | 闹市区,2.49,38.0,10.1,10.1,760.0,Machinegun,4.056224899598393
AWP | Worm God (Well-Worn),AWP | 蠕虫之神 (破损不堪),AWP | 蠕虫之神,2.46,14.0,9.99,9.98,119.0,Sniper Rifle,4.060975609756098
Galil AR | Chromatic Aberration (Field-Tested),加利尔 AR | 迷人眼 (久经沙场),加利尔 AR | 迷人眼,2.8,20.0,11.38,11.28,1283.0,Rifle,4.064285714285715
StatTrak™ Galil AR | Signal (Well-Worn),加利尔 AR（StatTrak™） | 信号灯 (破损不堪),加利尔 AR（StatTrak™） | 信号灯,1.93,1.0,7.85,7.84,25.0,Rifle,4.067357512953368
M4A1-S | Blood Tiger (Factory New),M4A1 消音型 | 血虎 (崭新出厂),M4A1 消音型 | 血虎,4.94,1.0,20.1,20.3,727.0,Rifle,4.068825910931174
M4A1-S | Night Terror (Battle-Scarred),M4A1 消音型 | 夜无眠 (战痕累累),M4A1 消音型 | 夜无眠,3.7,64.0,15.1,15.1,3686.0,Rifle,4.081081081081081
StatTrak™ USP-S | Blood Tiger (Field-Tested),USP 消音版（StatTrak™） | 血虎 (久经沙场),USP 消音版（StatTrak™） | 血虎,3.91,1.0,15.96,15.86,86.0,Pistol,4.081841432225064
M4A4 | Poly Mag (Factory New),M4A4 | 透明弹匣 (崭新出厂),M4A4 | 透明弹匣,1.08,11.0,4.41,4.4,540.0,Rifle,4.083333333333333
Dual Berettas | Urban Shock (Minimal Wear),双持贝瑞塔 | 都市冲击 (略有磨损),双持贝瑞塔 | 都市冲击,2.35,3.0,9.62,9.61,100.0,Pistol,4.093617021276596
StatTrak™ Five-SeveN | Nightshade (Minimal Wear),FN57（StatTrak™） | 夜影 (略有磨损),FN57（StatTrak™） | 夜影,4.77,7.0,19.55,19.45,66.0,Pistol,4.098532494758911
StatTrak™ M4A4 | Poly Mag (Minimal Wear),M4A4（StatTrak™） | 透明弹匣 (略有磨损),M4A4（StatTrak™） | 透明弹匣,1.36,10.0,5.6,5.59,393.0,Rifle,4.117647058823529
★ Driver Gloves | Imperial Plaid (Field-Tested),驾驶手套（★） | 蓝紫格子 (久经沙场),驾驶手套（★） | 蓝紫格子,485.31,15.0,2000.0,1999.5,356.0,Gloves,4.121077249593044
AWP | Mortis (Battle-Scarred),AWP | 死神 (战痕累累),AWP | 死神,2.91,7.0,12.0,11.9,239.0,Sniper Rifle,4.123711340206185
StatTrak™ P250 | Verdigris (Factory New),P250（StatTrak™） | 铜绿 (崭新出厂),P250（StatTrak™） | 铜绿,1.94,5.0,8.0,7.99,83.0,Pistol,4.123711340206186
StatTrak™ CZ75-Auto | Red Astor (Minimal Wear),CZ75（StatTrak™） | 红鹰 (略有磨损),CZ75（StatTrak™） | 红鹰,1.83,5.0,7.55,7.54,146.0,Pistol,4.1256830601092895
StatTrak™ FAMAS | Neural Net (Battle-Scarred),法玛斯（StatTrak™） | 神经网 (战痕累累),法玛斯（StatTrak™） | 神经网,1.98,6.0,8.17,8.16,19.0,Rifle,4.126262626262626
Negev | Power Loader (Field-Tested),内格夫 | 动力装载机 (久经沙场),内格夫 | 动力装载机,1.5,8.0,6.19,6.19,755.0,Machinegun,4.126666666666667
M4A1-S | Boreal Forest (Factory New),M4A1 消音型 | 北方森林 (崭新出厂),M4A1 消音型 | 北方森林,5.22,5.0,21.55,21.45,163.0,Rifle,4.128352490421456
USP-S | Blueprint (Field-Tested),USP 消音版 | 蓝图 (久经沙场),USP 消音版 | 蓝图,7.76,1.0,32.07,31.97,1162.0,Pistol,4.132731958762887
M4A1-S | Briefing (Field-Tested),M4A1 消音型 | 简报 (久经沙场),M4A1 消音型 | 简报,3.33,1.0,13.77,13.67,441.0,Rifle,4.135135135135135
AWP | Worm God (Minimal Wear),AWP | 蠕虫之神 (略有磨损),AWP | 蠕虫之神,2.68,22.0,11.1,11.1,3084.0,Sniper Rifle,4.141791044776119
